"","Division","Line","Station Name","Station Latitude","Station Longitude"
"1","BMT","4 Avenue","25th St",40.660397,-73.998091
"2","BMT","4 Avenue","36th St",40.655144,-74.003549
"3","BMT","4 Avenue","45th St",40.648939,-74.010006
"4","BMT","4 Avenue","53rd St",40.645069,-74.014034
"5","BMT","4 Avenue","59th St",40.641362,-74.017881
"6","BMT","4 Avenue","77th St",40.629742,-74.02551
"7","BMT","4 Avenue","86th St",40.622687,-74.028398
"8","BMT","4 Avenue","95th St",40.616622,-74.030876
"9","BMT","4 Avenue","9th St",40.670847,-73.988302
"10","BMT","4 Avenue","Atlantic Av-Barclays Ctr",40.683666,-73.97881
"11","BMT","4 Avenue","Bay Ridge Av",40.634967,-74.023377
"12","BMT","4 Avenue","DeKalb Av",40.690635,-73.981824
"13","BMT","4 Avenue","Pacific St",40.683666,-73.97881
"14","BMT","4 Avenue","Prospect Av",40.665414,-73.992872
"15","BMT","4 Avenue","Union St",40.677316,-73.98311
"16","IRT","42nd St Shuttle","Grand Central",40.752769,-73.979189
"17","IRT","42nd St Shuttle","Times Square",40.755983,-73.986229
"18","IND","6 Avenue","14th St",40.738228,-73.996209
"19","IND","6 Avenue","23rd St",40.742878,-73.992821
"20","IND","6 Avenue","2nd Av",40.723402,-73.989938
"21","IND","6 Avenue","34th St",40.749719,-73.987823
"22","IND","6 Avenue","42nd St",40.754222,-73.984569
"23","IND","6 Avenue","47-50th Sts Rockefeller Center",40.758663,-73.981329
"24","IND","6 Avenue","4th Av",40.670272,-73.989779
"25","IND","6 Avenue","57th St",40.763972,-73.97745
"26","IND","6 Avenue","7th Av",40.666271,-73.980305
"27","IND","6 Avenue","Bergen St",40.686145,-73.990862
"28","IND","6 Avenue","Broadway-Lafayette St",40.725297,-73.996204
"29","IND","6 Avenue","Carroll St",40.680303,-73.995048
"30","IND","6 Avenue","Church Av",40.644041,-73.979678
"31","IND","6 Avenue","Delancey St",40.718611,-73.988114
"32","IND","6 Avenue","East Broadway",40.713715,-73.990173
"33","IND","6 Avenue","Fort Hamilton Parkway",40.650782,-73.975776
"34","IND","6 Avenue","Grand St",40.718267,-73.993753
"35","IND","6 Avenue","Prospect Park-15 St",40.660365,-73.979493
"36","IND","6 Avenue","Smith-9th St",40.67358,-73.995959
"37","IND","6 Avenue","York St",40.699743,-73.986885
"38","IND","63rd Street","21st St",40.754203,-73.942836
"39","IND","63rd Street","Lexington Av",40.764627,-73.96611
"40","IND","63rd Street","Roosevelt Island",40.759145,-73.95326
"41","IND","8 Avenue","103rd St",40.796092,-73.961454
"42","IND","8 Avenue","116th St",40.805085,-73.954882
"43","IND","8 Avenue","125th St",40.811109,-73.952343
"44","IND","8 Avenue","135th St",40.817894,-73.947649
"45","IND","8 Avenue","145th St",40.824783,-73.944216
"46","IND","8 Avenue","14th St",40.740893,-74.00169
"47","IND","8 Avenue","155th St",40.830518,-73.941514
"48","IND","8 Avenue","163rd St - Amsterdam Av",40.836013,-73.939892
"49","IND","8 Avenue","168th St - Washington Heights",40.840719,-73.939561
"50","IND","8 Avenue","175th St",40.847391,-73.939704
"51","IND","8 Avenue","181st St",40.851695,-73.937969
"52","IND","8 Avenue","190th St",40.859022,-73.93418
"53","IND","8 Avenue","23rd St",40.745906,-73.998041
"54","IND","8 Avenue","34th St",40.752287,-73.993391
"55","IND","8 Avenue","42nd St",40.757308,-73.989735
"56","IND","8 Avenue","50th St",40.762456,-73.985984
"57","IND","8 Avenue","59th St",40.768296,-73.981736
"58","IND","8 Avenue","72nd St",40.775594,-73.97641
"59","IND","8 Avenue","81st St - Museum of Natural History",40.781433,-73.972143
"60","IND","8 Avenue","86th St",40.785868,-73.968916
"61","IND","8 Avenue","96th St",40.791646,-73.964699
"62","IND","8 Avenue","Broadway-Nassau",40.710197,-74.007691
"63","IND","8 Avenue","Canal St",40.720824,-74.005229
"64","IND","8 Avenue","Cathedral Parkway-110th St",40.800605,-73.958158
"65","IND","8 Avenue","Chambers St",40.714111,-74.008585
"66","IND","8 Avenue","Dyckman St-200th St",40.865491,-73.927271
"67","IND","8 Avenue","High St",40.699337,-73.990531
"68","IND","8 Avenue","Inwood - 207th St",40.868072,-73.919899
"69","IND","8 Avenue","Spring St",40.726227,-74.003739
"70","IND","8 Avenue","West 4th St",40.732338,-74.000495
"71","IND","8 Avenue","World Trade Center",40.712582,-74.009781
"72","IND","Archer Av","Jamaica-Van Wyck",40.702566,-73.816859
"73","IND","Archer Av","Parsons Blvd-Archer Av - Jamaica Center",40.702147,-73.801109
"74","IND","Archer Av","Sutphin Blvd-Archer Av - JFK",40.700486,-73.807969
"75","BMT","Astoria","30 Av-Grand Av",40.766779,-73.921479
"76","BMT","Astoria","36 Av-Washington Av",40.756804,-73.929575
"77","BMT","Astoria","39 Av-Beebe Av",40.752882,-73.932755
"78","BMT","Astoria","Astoria Blvd-Hoyt Av",40.770258,-73.917843
"79","BMT","Astoria","Broadway",40.76182,-73.925508
"80","BMT","Astoria","Ditmars Blvd",40.775036,-73.912034
"81","BMT","Brighton","7th Av",40.67705,-73.972367
"82","BMT","Brighton","Atlantic Av",40.68446,-73.97689
"83","BMT","Brighton","Av H",40.62927,-73.961639
"84","BMT","Brighton","Av J",40.625039,-73.960803
"85","BMT","Brighton","Av M",40.617618,-73.959399
"86","BMT","Brighton","Av U",40.5993,-73.955929
"87","BMT","Brighton","Beverly Rd",40.644031,-73.964492
"88","BMT","Brighton","Brighton Beach",40.577621,-73.961376
"89","BMT","Brighton","Church Av",40.650527,-73.962982
"90","BMT","Brighton","Cortelyou Rd",40.640927,-73.963891
"91","BMT","Brighton","Kings Highway",40.60867,-73.957734
"92","BMT","Brighton","Neck Rd",40.595246,-73.955161
"93","BMT","Brighton","Newkirk Av",40.635082,-73.962793
"94","BMT","Brighton","Ocean Parkway",40.576312,-73.968501
"95","BMT","Brighton","Parkside Av",40.655292,-73.961495
"96","BMT","Brighton","Prospect Park",40.661614,-73.962246
"97","BMT","Brighton","Sheepshead Bay",40.586896,-73.954155
"98","BMT","Brighton","Stillwell Av",40.577422,-73.981233
"99","BMT","Brighton","West 8th St",40.576127,-73.975939
"100","BMT","Broadway","23rd St",40.741303,-73.989344
"101","BMT","Broadway","28th St",40.745494,-73.988691
"102","BMT","Broadway","34th St",40.749567,-73.98795
"103","BMT","Broadway","49th St",40.759901,-73.984139
"104","BMT","Broadway","57th St",40.764664,-73.980658
"105","BMT","Broadway","5th Av",40.764811,-73.973347
"106","BMT","Broadway","8th St",40.730328,-73.992629
"107","BMT","Broadway","Canal St (UL)",40.719527,-74.001775
"108","BMT","Broadway","City Hall",40.713282,-74.006978
